"team","team_total_time"
"MOVISTAR TEAM","1855342"
"ASTANA QAZAQSTAN TEAM","1911987"
"EF EDUCATION - EASYPOST","1972419"
"LOTTO DSTNY","2136502"
"INEOS GRENADIERS","2220406"
"COFIDIS","2277696"
"TOTALENERGIES","2284928"
"LIDL - TREK","2297012"
"SOUDAL QUICK-STEP","2366313"
"JUMBO-VISMA","2375274"
"INTERMARCHÉ - CIRCUS - WANTY","2377816"
"TEAM DSM - FIRMENICH","2382098"
"BAHRAIN VICTORIOUS","2384380"
"ALPECIN-DECEUNINCK","2397760"
"GROUPAMA - FDJ","2441867"
"UAE TEAM EMIRATES","2442398"
"AG2R CITROEN TEAM","2450441"
"BORA - HANSGROHE","2460394"
"ISRAEL - PREMIER TECH","2469416"
"TEAM ARKEA - SAMSIC","2479165"
"TEAM JAYCO ALULA","2481923"
"UNO-X PRO CYCLING TEAM","2490279"
