"name","continent","rank_continent","rank_world"
"China","Asia","1","1"
"India","Asia","2","2"
"United States","North America","1","3"
"Indonesia","Asia","4","4"
"Indonesia","Australia/Oceania","1","5"
"Pakistan","Asia","3","6"
"Brazil","South America","1","7"
"Nigeria","Africa","1","8"
"Bangladesh","Asia","5","9"
"Russia","Europe","8","10"
"Russia","Asia","7","11"
"Japan","Asia","6","12"
"Mexico","North America","2","13"
"Philippines","Asia","8","14"
"Egypt","Asia","34","15"
"Egypt","Africa","2","16"
"Vietnam","Asia","9","17"
"Congo, Dem.Rep.","Africa","3","18"
"Ethiopia","Africa","4","19"
"Germany","Europe","1","20"
"Iran","Asia","10","21"
"Turkey","Europe","32","22"
"Turkey","Asia","11","23"
"Thailand","Asia","12","24"
"France","Europe","2","25"
"United Kingdom","Europe","3","26"
"Italy","Europe","4","27"
"South Africa","Africa","5","28"
"Myanmar","Asia","13","29"
"South Korea","Asia","14","30"
"Colombia","South America","2","31"
"Spain","Europe","5","32"
"Ukraine","Europe","6","33"
"Tanzania","Africa","6","34"
"Argentina","South America","3","35"
"Kenya","Africa","7","36"
"Sudan","Africa","8","37"
"Poland","Europe","7","38"
"Algeria","Africa","9","39"
"Canada","North America","3","40"
"Uganda","Africa","10","41"
"Morocco","Africa","11","42"
"Iraq","Asia","15","43"
"Uzbekistan","Asia","16","44"
"Peru","South America","4","45"
"Venezuela","South America","5","46"
"Malaysia","Asia","17","47"
"Saudi Arabia","Asia","18","48"
"Nepal","Asia","19","49"
"Afghanistan","Asia","20","50"
"Angola","Africa","12","51"
"Ghana","Africa","13","52"
"Yemen","Asia","21","53"
"North Korea","Asia","22","54"
"Mozambique","Africa","14","55"
"Taiwan","Asia","23","56"
"Australia","Australia/Oceania","2","57"
"Cote d'Ivoire","Africa","15","58"
"Madagascar","Africa","16","59"
"Sri Lanka","Asia","24","60"
"Romania","Europe","9","61"
"Cameroon","Africa","17","62"
"Malawi","Africa","18","63"
"Burkina Faso","Africa","19","64"
"Kazakhstan","Europe","39","65"
"Kazakhstan","Asia","26","66"
"Niger","Africa","20","67"
"Syria","Asia","25","68"
"Netherlands","Europe","10","69"
"Chile","South America","6","70"
"Cambodia","Asia","27","71"
"Guatemala","North America","4","72"
"Mali","Africa","21","73"
"Ecuador","South America","7","74"
"Senegal","Africa","22","75"
"Zambia","Africa","23","76"
"Zimbabwe","Africa","24","77"
"Chad","Africa","25","78"
"Cuba","North America","5","79"
"Belgium","Europe","11","80"
"Somalia","Africa","26","81"
"Tunisia","Africa","27","82"
"Greece","Europe","12","83"
"Haiti","North America","6","84"
"Guinea","Africa","28","85"
"Czech Republic","Europe","13","86"
"Portugal","Europe","14","87"
"Rwanda","Africa","29","88"
"Bolivia","South America","8","89"
"Benin","Africa","30","90"
"Hungary","Europe","15","91"
"Sweden","Europe","16","92"
"Belarus","Europe","17","93"
"Dominican Republic","North America","7","94"
"Azerbaijan","Asia","28","95"
"Jordan","Asia","29","96"
"United Arab Emirates","Asia","30","97"
"Austria","Europe","18","98"
"Burundi","Africa","31","99"
"South Sudan","Africa","32","100"
"Tajikistan","Asia","31","101"
"Switzerland","Europe","19","102"
"Honduras","North America","8","103"
"Israel","Asia","32","104"
"Bulgaria","Europe","20","105"
"Hong Kong","Asia","33","106"
"Papua New Guinea","Australia/Oceania","3","107"
"Serbia","Europe","21","108"
"Paraguay","South America","9","109"
"Turkmenistan","Asia","35","110"
