"state","model","total_sales"
"az","Cruze","32"
"az","Altima","24"
"az","Grand Caravan","21"
"ca","Altima","339"
"ca","3 Series","274"
"ca","G Sedan","261"
"co","Camry","54"
"co","Altima","32"
"co","G Sedan","24"
"fl","Altima","191"
"fl","Camry","157"
"fl","Sonata","141"
"ga","Accord","91"
"ga","F-150","64"
"ga","Camry","61"
"hi","Civic","6"
"hi","F-150","5"
"hi","Escape","5"
"il","Altima","146"
"il","Fusion","63"
"il","G Sedan","61"
"in","Malibu","15"
"in","Avenger","14"
"in","Equinox","13"
"la","Altima","5"
"la","Jetta","4"
"la","F-150","4"
"ma","Accord","18"
"ma","Camry","12"
"ma","Altima","11"
"md","Accord","19"
"md","Impala","18"
"md","Altima","17"
"mi","Escape","163"
"mi","Fusion","113"
"mi","F-150","105"
"mn","Escape","55"
"mn","F-150","53"
"mn","Fusion","42"
"mo","Escape","66"
"mo","Fusion","38"
"mo","Focus","36"
"ms","Amanti","1"
"ms","Impala","1"
"ms","F-150","1"
"nc","Impala","35"
"nc","Altima","34"
"nc","Focus","32"
"ne","Town and Country","14"
"ne","Silverado 1500","13"
"ne","Malibu","11"
"nj","Altima","74"
"nj","Civic","53"
"nj","Accord","51"
"nm","Tahoe","1"
"nv","3 Series","64"
"nv","C-Class","53"
"nv","Sonata","53"
"ny","Focus","24"
"ny","F-150","22"
"ny","Escape","20"
"oh","Camry","79"
"oh","Elantra","78"
"oh","Sonata","72"
"ok","Mazdaspeed3","1"
"ok","LeSabre","1"
"ok","Equinox","1"
"or","F-150","4"
"or","Grand Caravan","3"
"or","Civic","3"
"pa","Accord","196"
"pa","Civic","140"
"pa","Altima","63"
"pr","Yaris","27"
"pr","Lancer","26"
"pr","SX4","17"
"sc","Impala","9"
"sc","Camry","8"
"sc","200","7"
"tn","Altima","164"
"tn","G Sedan","87"
"tn","Maxima","53"
"tx","F-150","165"
"tx","Focus","104"
"tx","Fusion","76"
"ut","F-150","8"
"ut","F-350 Super Duty","4"
"ut","GL-Class","3"
"va","Accord","37"
"va","Grand Caravan","33"
"va","Impala","26"
"wa","Camry","77"
"wa","3 Series","33"
"wa","Leaf","25"
"wi","Camry","21"
"wi","3 Series","20"
"wi","Optima","19"
